id,name,surname,city,street,street_number,postal_code
32401914.0,,Kalinowska,,,1281.0,78-424
125702713.0,Penelopa,Żyborska,Rybnik,Zagrodnicza,521.0,96-779
279511859.0,,Sowa,Trzemeszno,Czackiego Tadeusza,1220.0,52-910
479660205.0,Agnieszka,Frydrychowicz,Opoczno,,1256.0,02-519
,Fabian,Krasuski,,Chlebowa,,92-972
111272506.0,Wacław,Kruszewski,Zielona Góra,,,30-987
298284593.0,,,Jeziorany,Ludwinowska,,27-666
63403727.0,Fabiana,Giergielewicz,Radzionków,Margaretek,,72-957
,Andżela,,Wiązów,,1375.0,30-393
270747056.0,Jakub,Rutowicz,Głuszyca,Zaremby Stanisława,,43-317
3615957.0,Jonasz,,,Orawska,,24-547
100518303.0,Hipolita,Wolańska,Goniądz,Polańska,,58-886
111749039.0,Tadeusz,Majerski,Ujście,,715.0,90-287
94076592.0,,Żmuda,,Kantorowicka,,24-334
390208917.0,Donata,,Dobczyce,,300.0,36-907
353860417.0,,Karpińska,Ożarów,Gajcego Tadeusza,141.0,57-562
48522104.0,Alina,Salicka,Mrozy,Dąbrówki,1255.0,01-347
,,Urbaniak,Wałbrzych,Kotarbińskiego Tadeusza,121.0,04-345
18055055.0,Franciszek,Maniura,Terespol,,1329.0,99-656
560501800.0,Ewa,Rataj,Pionki,,1346.0,36-462
387259892.0,Natasza,Grabińska,Mińsk Mazowiecki,,1377.0,38-035
21030868.0,,Adamiuk,Karpacz,Danka Wincentego,128.0,70-962
659711326.0,,Wielowieyski,Świecie,Bogucianka,1246.0,08-336
479073752.0,Gaweł,Grabiński,Sucha Beskidzka,,,34-295
113894500.0,Wacław,Nowicki,Skalbmierz,Sosnowa,1313.0,00-009
,,Żyborski,Pilawa,Pod Sikornikiem,1017.0,84-000
63689670.0,Celestyna,Abramczyk,Szczucin,,1202.0,62-745
,Wincent,Drewnowski,,Lotaryńska,1359.0,41-026
,Maksym,Dąbek,Gdynia,Wiślisko,1398.0,03-275
16335734.0,Amelia,Pietrzak,Błonie,Gnieźnieńska,633.0,21-192
365437401.0,,Gąsienica,Alwernia,Borsucza,799.0,46-504
27657443.0,,Kaczor,Zaklików,Stwosza Wita,142.0,17-976
67837685.0,Krystian,Kozakiewicz,Olesno,Gąsiorowskich,563.0,36-711
16117190.0,,Zawadzki,Janikowo,Mrągowska,124.0,42-059
24912141.0,Julita,Ślusarska,Śrem,Okulistów,1144.0,46-987
,Teodor,Dobiecki,Przemyśl,Konecznego Feliksa,451.0,16-644
,Tadeusz,,Wadowice,,,05-216
52751541.0,Kołodziej,Matkowski,Żyrardów,,1330.0,16-069
99108064.0,Radomir,,Mikstat,Lidzbarska,811.0,53-593
162556179.0,Klaudiusz,Wójcik,Mieroszów,Paproci,910.0,39-201
310879807.0,Inga,,,Chociszewskiego Józefa,,04-909
401210251.0,Ernesta,Chmiel,Drezdenko,Jaremy Marii,,
386899179.0,Julia,Grzesiak,Łaskarzew,Lecha,845.0,13-192
49678408.0,Alek,,Olsztyn,Podmokła,1033.0,
67223436.0,,Kijański,Oborniki,Chabrowa,1263.0,
234071625.0,Blanka,Weryszko,Kępno,Kurpiowska,,44-775
411652692.0,Kunegunda,,Nieszawa,Bonin,516.0,44-084
17939629.0,Iga,Wójcik,Krasnystaw,Charzykowska,1184.0,13-395
58396006.0,,,,,605.0,36-796
,Przemysława,,Lesko,Łabiszyńska,998.0,19-179
,Hugo,,Zbąszynek,Leśnowolska,799.0,09-788
,Stefan,Szafarz,,Nad Dłubnią,561.0,12-626
387081172.0,Danuta,Walewska,,,1276.0,45-825
166031442.0,,Markiewicz,Kętrzyn,,120.0,33-457
130468842.0,Hanka,Grabińska,Pruszków,Inowrocławska,1293.0,57-736
163161271.0,Ignacy,Włodarczyk,,Polańska,716.0,58-886
168803765.0,Paweł,Kołodziej,Działoszyn,Fabijańskich Erazma I Stanisława,868.0,28-509
68764106.0,Emilian,Szołtysek,Przedecz,Słupecka,1092.0,69-279
,Matylda,Sikora,Niepołomice,Dworkowa,118.0,62-404
,Emanuela,,Chęciny,Orszańska,31.0,00-077
53801413.0,,,Wielichowo,,372.0,
33628499.0,Fabiana,Skoczylas,,,666.0,64-689
