id,name,surname,city,street,street_number,postal_code
111125890,Czesława,Strużyna,Skawina,Goplańska,866,38-170
404355107,Ambroży,Zawiślak,Syców,Ondraszka,62,69-667
15265602,Joanna,Roszkowska,Lędziny,Zaczarowane Koło,1234,57-705
37127610,Waldemar,Świerczewski,Lubartów,Pajzderskiego Nikodema,381,66-308
483119376,Sławek,Szczytko,Płońsk,Kawiory,1367,42-153
140419732,Oskar,Kot,Rybnik,Łuczników,1380,00-358
25659340,Wanda,Kołodziejska,Tolkmicko,Pokrzywki Gustawa,69,44-947
223785412,Leona,Błachowska,Chociwel,Bojki Jakuba,127,39-371
237476697,Filipina,Mickaewicz,Raszków,Sochy,859,79-118
4095594,Mieczysława,Malińska,Strumień,Feldmana Wilhelma,1080,22-459
42408584,Marleta,Smolińska,Bielsk Podlaski,Łempickiego Stanisława,1125,43-340
181520791,Szymon,Mioduszewski,Ulanów,Amazonek,828,02-244
76665421,Cyprian,Słowakiewicz,Nakło nad Notecią,Martenowska,736,94-575
456331176,Aga,Chuchrowska,Nowy Tomyśl,Wrzoska Adama,1054,11-885
8352232,Wacława,Zielonko,Margonin,Sulańska,1284,12-054
101428934,Florian,Wojciechowski,Przeworsk,Sobolowa,562,26-449
82765747,Janina,Stasiuk,Pieniężno,Podhalnie,134,17-621
311745992,Aga,Gościniak,Sulęcin,Wojciechowskiego Zygmunta,55,16-770
37115357,Ludwik,Mołdrzyk,Chodzież,Łobżenicka,218,30-720
216580128,Marta,Topolska,Biecz,Leszczyńska,183,82-347
288783439,Antoniusz,Jerzmanowski,Iwonicz-Zdrój,Firlika Franciszka,1010,97-359
100367183,Mirek,Bagiński,Lubawka,Mansfelda Petera,567,00-297
45022261,Bartłomiej,Żmuda,Ińsko,Jaspisowa,1251,99-278
33652970,Donald,Drewniowski,Olsztynek,Goplana,831,92-766
50841459,Ernest,Górka,Kamienna Góra,Na Jazkach,1007,57-374
20553041,Mirosław,Pietrzykowski,Puławy,Augustynka-Wichury Antoniego,645,98-710
316608363,Bogumiła,Smolar,Jasło,Pokrzywno,1396,96-724
375991555,Diana,Drewnowska,Elbląg,Nowolipki,1151,45-212
76049970,Gabryjel,Łagodzki,Górowo Iławeckie,Drobna,796,63-996
241301441,Iwonka,Małłek,Orzesze,Siejówka,303,94-128
77006668,Kazimierz,Wisowaty,Limanowa,Królówka,543,40-786
11610614,Bona,Wisowaty,Tychowo,Dębnicki Rynek,740,24-444
41434898,Celestyn,Kownacki,Międzychód,Przymiarki,724,31-452
1117812,Jurek,Moraczewski,Kalety,Łysy Młyn,973,67-863
74168210,Marzanna,Pospieszalska,Strzelin,Duża Góra,922,80-308
43398633,Zenon,Rocki,Drezdenko,Zawady,254,42-639
96396003,Joachim,Ryndak,Kórnik,Wrzesińska,1012,40-516
67159526,Hugon,Kot,Grójec,Pętla Górczyńska,489,48-817
20715778,Fryderyk,Wisowaty,Pruszków,Kantorowicka,1210,84-978
14866825,Bogumił,Chomicki,Jastrowie,Międzylesie,1329,36-284
107387006,Balbina,Piekarska,Sompolno,Nad Drwiną,485,78-913
1321769,Wanda,Łagodzki,Ustrzyki Dolne,Wietora Hieronima,421,53-995
356520334,Bernarda,Jarczyńska,Pobiedziska,Spadochronowa,869,20-875
143930809,Lusia,Wolańska,Nowogard,Gzymsików,78,97-104
46797902,Wiktor,Musiał,Siewierz,Prażmowskiego Adama,839,86-338
16612849,Albert,Burzyński,Kunów,Knyszyn,770,50-351
402238142,Gerald,Bienias,Sompolno,Palacza Macieja,262,41-357
136274033,Alek,Majerski,Węgliniec,Blokowa,642,49-868
101731949,Patrycja,Jastrzębska,Ostrów Lubelski,Szubińska,1290,40-090
490480423,Sara,Bienias,Limanowa,Kleeberga Franciszka,433,66-510
243101162,Ewa,Romanowicz,Łęczna,Przebindowskiego Zdzisława,378,61-636
72809629,Jacek,Czekalski,Wągrowiec,Strażewicza Wacława,1262,03-647
267136884,Jędrek,Brodowicz,Częstochowa,Partyzantów,1081,04-013
69398803,Artem,Dziubiński,Sokółka,Rusiecka,1361,47-037
8799019,Zbigniewa,Kaczmarek,Sulechów,Calliera Edmunda,890,43-466
3080718,Korneliusz,Szajda,Goniądz,Godlewskiego Emila,988,41-043
253604313,Iwonka,Świętochowska,Czerniejewo,Lubeckiego Franciszka Ksawerego,550,72-458
293954550,Gabriela,Duchnowska,Konstancin-Jeziorna,Stara Cegielnia,572,54-597
150506110,Dionizy,Czyszek,Nowe Miasteczko,1 Maja,67,63-112
570990987,Marianna,Magierowska,Kałuszyn,Chlebowa,329,08-252
52860488,Leokadiusz,Oborski,Jastarnia,Chochołowska,617,41-859
162282517,Leonard,Mołdrzyk,Janikowo,Mogilska,860,17-033
143356391,Dobrawa,Szczepanik,Tychy,Żywokostowa,610,62-265
138991364,Arnold,Pluta,Drawno,Jodłowa,11,67-535
392297007,Ariela,Brzozowska,Sztum,Złoty Róg,993,50-943
545091596,Krzesimir,Kaczorowski,Zduńska Wola,Oskierki Hieronima,571,17-921
14867684,Radomir,Salicki,Mikstat,Rataje Rondo,42,82-716
408537507,Iwan,Brzozowski,Bielawa,Skośna,93,56-539
8276451,Apolonia,Waśkowska,Sobótka,Warchałowskiego Edwarda,552,63-773
3036289,Janusz,Pluta,Dębno,Mrozowa,1177,61-028
110492497,Samuela,Kaczorowska,Tomaszów Lubelski,Danuty,580,81-751
55464848,Leon,Klimaszewski,Namysłów,Morcinka Gustawa,1144,85-030
301047364,Aneta,Karwowska,Przysucha,Szablowskiego Jerzego,196,09-957
15616105,Justynka,Słabowska,Cieszanów,Beniowska,682,08-352
143476399,Maniek,Żaliński,Złoczew,Mistrzejowicka,971,10-159
2608621,Samuela,Wojciechowska,Otmuchów,Wiatraczna,129,92-373
173343171,Iliana,Wilczyńska,Wyszogród,Juranda Ze Spychowa,682,54-037
147214064,Lew,Wilk,Goleniów,Mały Płaszów,852,20-488
438930122,Iwona,Katlewicz,Brwinów,Wilczak,957,18-553
385105724,Wioletta,Samsonowicz,Myślenice,Michałowo,97,92-998
163873998,Leon,Hejmo,Radymno,Kierzkowskiego Kazimierza,356,56-648
57798867,Ewelina,Bohosiewicz,Zawichost,Mały Płaszów,592,30-814
47846456,Florian,Kaczorowski,Łęknica,Gwiaździsta,1318,90-701
362053960,Jagna,Matkowska,Lubliniec,Wójtowska,1008,95-408
88882708,Jula,Rubinowicz,Suwałki,Krucza,386,49-787
11089673,Dobiesław,Królicki,Nisko,Unisława,1086,32-944
17658388,Ilza,Janicka,Węgorzyno,Korbielowska,685,11-582
211768420,Renata,Kwietniewska,Oleśnica,Gombrowicza Witolda,1338,30-637
1896605,Piotr,Gogolewski,Chełmno,Aroniowa,1136,78-603
510257091,Bernadeta,Drewnowicz,Głogów,Sławkowska,118,46-164
190814628,Błażej,Drobczyński,Miasteczko Śląskie,Mostowa,910,74-676
411277876,Luiza,Jabłońska,Gubin,Legionów Piłsudskiego Józefa,1182,78-609
348212631,Boguchwał,Romański,Chojnice,Racjonalizatorów,636,85-026
94457897,Karol,Horodecki,Lipsk,Popielidów,741,03-695
462031293,Antonina,Bielecka,Mysłowice,Bacewicz Grażyny,594,61-677
290315561,Oskar,Witczyk,Podkowa Leśna,Stattlera Wojciecha,267,35-404
293411219,Grażyna,Siudek,Ustrzyki Dolne,Hurtowa,1065,83-628
356314178,Wacława,Umińska,Choszczno,Kopalina,932,69-655
2586076,Gwidon,Partyka,Nałęczów,Ściegiennego Piotra,1326,11-852
52974597,Maryla,Orzyłowska,Poznań,Kopy Andrzeja,1193,86-900
216403494,Rafał,Strzyżewski,Rajgród,Petrażyckiego Leona,421,61-140
6854732,Gabriel,Skoczylas,Jastarnia,Margaretek,503,96-048
141955677,Józefina,Pięta,Grójec,Stefanowicza Kajetana,130,56-115
111221982,Jaromił,Domachowski,Pieńsk,Ratajczaka Franciszka,889,58-522
463111193,Dagmar,Nowicki,Warka,Sawy-Calińskiego Józefa,1141,18-853
43456143,Jolanta,Damboń,Jelcz-Laskowice,Gajowa,250,40-469
42605691,Mariola,Błach,Nidzica,Twardowskiego Jana,209,86-683
